MMWR_Week,Week_Start,Week_End,ZIP_Code,ILI_Activity_Level,RECORD_ID,ZIP_Code_Location
19,05/03/2020,05/09/2020,60660,5,2020-19-60660,POINT (-87.666362 41.991062)
19,05/03/2020,05/09/2020,60659,10,2020-19-60659,POINT (-87.703266 41.990803)
19,05/03/2020,05/09/2020,60657,9,2020-19-60657,POINT (-87.658216 41.939715)
19,05/03/2020,05/09/2020,60656,1,2020-19-60656,POINT (-87.817934 41.974566)
19,05/03/2020,05/09/2020,60655,6,2020-19-60655,POINT (-87.701434 41.696456)
19,05/03/2020,05/09/2020,60654,3,2020-19-60654,POINT (-87.636354 41.892485)
19,05/03/2020,05/09/2020,60653,3,2020-19-60653,POINT (-87.611244 41.819261)
19,05/03/2020,05/09/2020,60652,10,2020-19-60652,POINT (-87.714238 41.745398)
19,05/03/2020,05/09/2020,60651,3,2020-19-60651,POINT (-87.741017 41.901964)
19,05/03/2020,05/09/2020,60649,10,2020-19-60649,POINT (-87.571522 41.762202)
19,05/03/2020,05/09/2020,60647,10,2020-19-60647,POINT (-87.701101 41.921058)
19,05/03/2020,05/09/2020,60646,3,2020-19-60646,POINT (-87.761826 41.993931)
19,05/03/2020,05/09/2020,60645,6,2020-19-60645,POINT (-87.695049 42.008927)
19,05/03/2020,05/09/2020,60644,4,2020-19-60644,POINT (-87.756863 41.881113)
19,05/03/2020,05/09/2020,60643,7,2020-19-60643,POINT (-87.662381 41.700445)
19,05/03/2020,05/09/2020,60642,10,2020-19-60642,POINT (-87.657821 41.899935)
19,05/03/2020,05/09/2020,60641,9,2020-19-60641,POINT (-87.746791 41.946682)
19,05/03/2020,05/09/2020,60640,2,2020-19-60640,POINT (-87.662232 41.971888)
19,05/03/2020,05/09/2020,60639,5,2020-19-60639,POINT (-87.75531 41.920609)
19,05/03/2020,05/09/2020,60638,2,2020-19-60638,POINT (-87.771902 41.787032)
19,05/03/2020,05/09/2020,60637,8,2020-19-60637,POINT (-87.604053 41.780991)
19,05/03/2020,05/09/2020,60636,10,2020-19-60636,POINT (-87.668597 41.77599)
19,05/03/2020,05/09/2020,60634,3,2020-19-60634,POINT (-87.797373 41.944967)
19,05/03/2020,05/09/2020,60633,10,2020-19-60633,POINT (-87.556037 41.653147)
19,05/03/2020,05/09/2020,60632,10,2020-19-60632,POINT (-87.711251 41.810038)
19,05/03/2020,05/09/2020,60631,1,2020-19-60631,POINT (-87.813371 41.995019)
19,05/03/2020,05/09/2020,60630,3,2020-19-60630,POINT (-87.759611 41.971261)
19,05/03/2020,05/09/2020,60629,10,2020-19-60629,POINT (-87.711565 41.777061)
19,05/03/2020,05/09/2020,60628,10,2020-19-60628,POINT (-87.621537 41.694192)
19,05/03/2020,05/09/2020,60626,1,2020-19-60626,POINT (-87.669834 42.009469)
19,05/03/2020,05/09/2020,60625,8,2020-19-60625,POINT (-87.701816 41.971155)
19,05/03/2020,05/09/2020,60624,4,2020-19-60624,POINT (-87.722735 41.879417)
19,05/03/2020,05/09/2020,60623,9,2020-19-60623,POINT (-87.717446 41.850321)
19,05/03/2020,05/09/2020,60622,1,2020-19-60622,POINT (-87.681818 41.902762)
19,05/03/2020,05/09/2020,60621,4,2020-19-60621,POINT (-87.638812 41.776931)
19,05/03/2020,05/09/2020,60620,9,2020-19-60620,POINT (-87.651656 41.740873)
19,05/03/2020,05/09/2020,60619,10,2020-19-60619,POINT (-87.60569 41.744737)
19,05/03/2020,05/09/2020,60618,10,2020-19-60618,POINT (-87.703343 41.946699)
19,05/03/2020,05/09/2020,60617,10,2020-19-60617,POINT (-87.556897 41.721257)
19,05/03/2020,05/09/2020,60616,1,2020-19-60616,POINT (-87.629531 41.844869)
19,05/03/2020,05/09/2020,60615,4,2020-19-60615,POINT (-87.602725 41.801993)
19,05/03/2020,05/09/2020,60614,2,2020-19-60614,POINT (-87.652064 41.922605)
19,05/03/2020,05/09/2020,60613,2,2020-19-60613,POINT (-87.661343 41.953742)
19,05/03/2020,05/09/2020,60612,1,2020-19-60612,POINT (-87.687011 41.88004)
19,05/03/2020,05/09/2020,60611,2,2020-19-60611,POINT (-87.620291 41.894734)
19,05/03/2020,05/09/2020,60610,1,2020-19-60610,POINT (-87.63581 41.90455)
19,05/03/2020,05/09/2020,60609,5,2020-19-60609,POINT (-87.653382 41.812017)
19,05/03/2020,05/09/2020,60608,6,2020-19-60608,POINT (-87.670366 41.849879)
19,05/03/2020,05/09/2020,60607,1,2020-19-60607,POINT (-87.652727 41.876104)
19,05/03/2020,05/09/2020,60606,10,2020-19-60606,POINT (-87.63676 41.882634)
19,05/03/2020,05/09/2020,60605,1,2020-19-60605,POINT (-87.623449 41.867824)
19,05/03/2020,05/09/2020,60604,1,2020-19-60604,POINT (-87.629029 41.878153)
19,05/03/2020,05/09/2020,60603,1,2020-19-60603,POINT (-87.625473 41.880112)
19,05/03/2020,05/09/2020,60602,1,2020-19-60602,POINT (-87.628309 41.883136)
19,05/03/2020,05/09/2020,60601,7,2020-19-60601,POINT (-87.622844 41.886262)
18,04/26/2020,05/02/2020,60707,1,2020-18-60707,POINT (-87.808283 41.921777)
18,04/26/2020,05/02/2020,60666,1,2020-18-60666,POINT (-87.896371 41.979511)
18,04/26/2020,05/02/2020,60661,1,2020-18-60661,POINT (-87.644283 41.882786)
18,04/26/2020,05/02/2020,60660,10,2020-18-60660,POINT (-87.666362 41.991062)
18,04/26/2020,05/02/2020,60659,2,2020-18-60659,POINT (-87.703266 41.990803)
18,04/26/2020,05/02/2020,60657,2,2020-18-60657,POINT (-87.658216 41.939715)
18,04/26/2020,05/02/2020,60656,2,2020-18-60656,POINT (-87.817934 41.974566)
18,04/26/2020,05/02/2020,60655,2,2020-18-60655,POINT (-87.701434 41.696456)
18,04/26/2020,05/02/2020,60654,1,2020-18-60654,POINT (-87.636354 41.892485)
18,04/26/2020,05/02/2020,60653,4,2020-18-60653,POINT (-87.611244 41.819261)
18,04/26/2020,05/02/2020,60652,10,2020-18-60652,POINT (-87.714238 41.745398)
18,04/26/2020,05/02/2020,60651,8,2020-18-60651,POINT (-87.741017 41.901964)
18,04/26/2020,05/02/2020,60649,9,2020-18-60649,POINT (-87.571522 41.762202)
18,04/26/2020,05/02/2020,60647,10,2020-18-60647,POINT (-87.701101 41.921058)
18,04/26/2020,05/02/2020,60646,7,2020-18-60646,POINT (-87.761826 41.993931)
18,04/26/2020,05/02/2020,60645,3,2020-18-60645,POINT (-87.695049 42.008927)
18,04/26/2020,05/02/2020,60644,5,2020-18-60644,POINT (-87.756863 41.881113)
18,04/26/2020,05/02/2020,60643,10,2020-18-60643,POINT (-87.662381 41.700445)
18,04/26/2020,05/02/2020,60642,1,2020-18-60642,POINT (-87.657821 41.899935)
18,04/26/2020,05/02/2020,60641,10,2020-18-60641,POINT (-87.746791 41.946682)
